survey_year,household_id,survey_weight,total_consumption_spend_eur,home_energy_spend_eur,home_electricity_spend_eur,home_gas_spend_eur,home_other_fuels_spend_eur,private_vehicle_fuel_spend_eur,vehicle_diesel_spend_eur,vehicle_petrol_spend_eur,monthly_net_income_eur,household_size,children_under18,employed_members,region_code,municipality_size_code,dwelling_area_m2,heating_energy_source,hot_water_energy_source
2023,5945,918.49721,50817.4343392943,1443.419996888178,540.719998485352,902.699998402826,0,4333.85713822691,0,4333.85713822691,2189,2,0,0,10,1,105,Natural gas,Natural gas
2023,5946,2158.969161,16896.4180586552,1056.000002771693,540.000001417343,516.00000135435,0,0,0,0,2175,1,0,1,9,5,90,Natural gas,Natural gas
2023,5947,573.833212,21074.5890392974,563.999997267499,563.999997267499,0,0,0,0,0,705,1,0,0,14,1,90,No heating,Electricity
2023,5948,836.062438,43931.5114644583,660.000001100397,419.999995263512,240.000005836885,0,0,0,0,4431,5,1,2,14,3,115,Electricity,LPG
2023,5949,446.64299,34630.99765654,792.780023257502,603.420015614709,189.360007642793,0,0,0,0,1425,1,0,0,3,1,68,Natural gas,Natural gas
2023,5950,812.991956,81676.2991563966,3691.6799949248198,3691.6799949248198,0,0,7950.0558920659205,4033.58703096442,3916.4688611015,8592,3,0,2,14,1,140,Electricity,Electricity
2023,5951,441.936608,26280.9778817871,959.999991673014,959.999991673014,0,0,4628.00044842631,4628.00044842631,0,1516,2,0,0,16,5,67,Electricity,Electricity
2023,5952,439.043495,26729.2288888143,825.4799903139431,509.999994419687,315.479995894256,0,763.216387023341,512.655995506778,250.560391516563,3452,2,0,1,16,3,90,Natural gas,Natural gas
2023,5953,926.607651,5389.15220979543,0,0,0,0,0,0,0,1331,2,0,0,8,2,80,No heating,Electricity
2023,5954,1879.868843,61745.3823559115,724.679998326883,724.679998326883,0,0,4273.18365316404,0,4273.18365316404,5550,4,2,2,1,1,110,Electricity,Electricity
2023,5955,369.539183,66964.1047780311,1657.319976268931,475.319987921281,1181.99998834765,0,782.143500057476,0,782.143500057476,3262,4,2,2,16,1,85,Natural gas,Natural gas
2023,5956,873.306094,26927.5180278314,515.8800025504,515.8800025504,0,0,0,0,0,3439,1,0,1,5,3,110,No heating,Electricity
2023,5957,313.453186,61327.8060922309,1020.00000089328,1020.00000089328,0,0,5656.711812780869,8.4960055247293,5648.21580725614,5019,4,1,3,19,2,90,Electricity,LPG
2023,5958,1337.614516,40967.2059808896,1242.960000891618,831.959997958037,411.000002933581,0,1857.36659574349,0,1857.36659574349,2771,4,0,3,10,3,180,No heating,Natural gas
2023,5959,246.844082,69151.3301501796,656.436033171741,505.800013467611,0,150.63601970413,0,0,0,6084,4,2,2,16,1,96,Other liquid fuels,Electricity
